ts_code,trade_date,open,high,low,close,volume
000001.SZ,20150216,13.95,14.01,13.73,13.92,721202
000001.SZ,20150303,13.98,13.98,13.59,13.6,1059476
000001.SZ,20150304,13.62,13.72,13.5,13.57,814973
000001.SZ,20150313,14.9,15.61,14.8,14.99,3163988
000001.SZ,20150320,15.19,15.55,15.06,15.32,1976394
000001.SZ,20150409,17.95,19.05,17.73,18.0,3173063
000001.SZ,20150414,16.5,16.5,16.1,16.3,2472375
000001.SZ,20150512,15.98,16.18,15.65,15.96,1989656
000001.SZ,20150605,16.7,16.8,16.03,16.3,2855456
000001.SZ,20150708,13.81,14.0,13.19,13.19,4996697
000001.SZ,20150825,9.85,10.35,9.32,9.46,2192334
000001.SZ,20150827,10.16,10.9,9.86,10.8,1849236
000001.SZ,20150901,10.9,11.61,10.61,11.57,2657661
000001.SZ,20150908,10.88,11.15,10.59,11.0,747292
000001.SZ,20150922,10.83,11.06,10.82,10.96,492956
000001.SZ,20150930,10.4,10.59,10.39,10.49,364660
000001.SZ,20151022,11.25,11.4,11.18,11.33,822806
000001.SZ,20151023,11.39,11.53,11.34,11.47,937425
000001.SZ,20151106,12.02,12.41,11.92,12.39,1463195
000001.SZ,20151113,12.22,12.48,12.19,12.24,587555
000001.SZ,20151124,12.41,12.45,12.16,12.28,664215
000001.SZ,20151202,11.7,12.64,11.66,12.51,1615761
000001.SZ,20151211,11.91,11.92,11.73,11.83,379508
000001.SZ,20151223,12.47,12.78,12.4,12.48,1039018
000001.SZ,20160201,9.98,10.01,9.74,9.8,417732
000001.SZ,20160219,10.09,10.14,9.99,10.04,318898
000001.SZ,20160223,10.29,10.29,10.05,10.12,425874
000001.SZ,20160322,10.77,10.94,10.69,10.72,625482
000001.SZ,20160325,10.51,10.6,10.5,10.59,237070
000001.SZ,20160330,10.48,10.7,10.47,10.7,539700
000001.SZ,20160511,10.3,10.44,10.3,10.37,327290
000001.SZ,20160530,10.25,10.28,10.2,10.28,380947
000001.SZ,20160531,10.26,10.57,10.26,10.55,946467
000001.SZ,20160627,8.57,8.64,8.54,8.61,325214
000001.SZ,20160718,8.99,9.08,8.97,9.04,506935
000001.SZ,20160725,8.93,8.98,8.91,8.98,264683
000001.SZ,20160728,8.98,9.11,8.97,9.08,479910
000001.SZ,20160729,9.08,9.24,9.03,9.2,671425
000001.SZ,20160811,9.14,9.35,9.13,9.22,935576
000001.SZ,20160815,9.55,9.8,9.51,9.68,1897552
000001.SZ,20160830,9.42,9.47,9.41,9.47,595081
000001.SZ,20160902,9.43,9.46,9.42,9.45,368796
000001.SZ,20161012,9.14,9.16,9.12,9.13,270316
000001.SZ,20161021,9.08,9.13,9.06,9.13,683897
000001.SZ,20161103,9.06,9.14,9.05,9.13,616871
000001.SZ,20161110,9.1,9.16,9.1,9.14,631999
000001.SZ,20161129,9.59,9.7,9.55,9.62,887779
000001.SZ,20170109,9.13,9.17,9.11,9.15,361082
000001.SZ,20170110,9.15,9.16,9.14,9.15,241054
000001.SZ,20170112,9.13,9.17,9.13,9.15,428007
000001.SZ,20170116,9.15,9.16,9.07,9.14,683166
000001.SZ,20170215,9.4,9.54,9.39,9.45,756613
000001.SZ,20170301,9.49,9.55,9.47,9.49,346994
000001.SZ,20170307,9.44,9.46,9.4,9.45,294673
000001.SZ,20170414,9.11,9.12,9.06,9.08,490501
000001.SZ,20170427,8.97,8.98,8.91,8.97,387393
000001.SZ,20170505,8.74,8.76,8.58,8.63,623701
000001.SZ,20170518,8.72,8.77,8.71,8.73,227401
000001.SZ,20170620,9.12,9.16,9.09,9.12,313616
000001.SZ,20170628,9.35,9.49,9.33,9.43,1168796
000001.SZ,20170705,9.29,9.38,9.27,9.37,567720
000001.SZ,20170706,9.36,9.41,9.31,9.4,738912
000001.SZ,20170710,9.45,9.66,9.44,9.59,1360816
000001.SZ,20170727,10.72,10.77,10.53,10.59,1194490
000001.SZ,20170810,10.7,10.82,10.54,10.62,959880
000001.SZ,20170907,11.65,11.75,11.39,11.44,614187
000001.SZ,20170914,11.43,11.59,11.24,11.32,883088
000001.SZ,20170918,11.25,11.32,11.2,11.25,607613
000001.SZ,20171018,11.53,11.7,11.51,11.69,871365
000001.SZ,20171110,12.37,12.55,12.15,12.3,1757552
000001.SZ,20171129,13.73,13.93,13.47,13.82,1564095
000001.SZ,20171207,13.05,13.14,12.75,12.83,1181958
000001.SZ,20180102,13.35,13.93,13.32,13.7,2081593
000001.SZ,20180110,13.04,13.49,12.92,13.47,2403277
000001.SZ,20180111,13.41,13.59,13.27,13.4,1443878
000001.SZ,20180208,12.83,12.92,12.53,12.54,2137815
000001.SZ,20180223,12.58,12.79,12.45,12.61,1013663
000001.SZ,20180314,11.98,12.0,11.83,11.92,635594
000001.SZ,20180316,11.72,11.85,11.64,11.64,962983
000001.SZ,20180323,11.25,11.35,10.92,11.34,1825691
000001.SZ,20180416,11.47,11.47,11.03,11.1,1427073
000001.SZ,20180502,10.97,11.03,10.8,10.88,1190523
000001.SZ,20180518,10.81,10.97,10.76,10.96,578385
000001.SZ,20180530,10.29,10.29,10.05,10.08,1124447
000001.SZ,20180702,9.05,9.05,8.55,8.61,1315520
000001.SZ,20180725,9.44,9.47,9.33,9.38,614123
000001.SZ,20180726,9.4,9.48,9.21,9.25,833358
000001.SZ,20180806,8.94,9.11,8.89,8.94,554010
000001.SZ,20180912,9.87,9.97,9.82,9.88,564829
000001.SZ,20181012,9.97,10.34,9.87,10.3,1516810
000001.SZ,20181108,10.88,10.97,10.82,10.89,793976
000001.SZ,20181228,9.31,9.46,9.31,9.38,576604
000001.SZ,20190102,9.39,9.42,9.16,9.19,539386
000001.SZ,20190107,9.84,9.85,9.63,9.74,865688
000001.SZ,20190115,10.11,10.28,10.09,10.24,542161
000001.SZ,20190125,10.56,11.04,10.55,11.0,2108362
000001.SZ,20190130,10.95,11.18,10.86,10.95,712001
000001.SZ,20190308,12.49,12.7,12.25,12.3,1778162
000001.SZ,20190319,12.92,12.94,12.61,12.79,957196
000001.SZ,20190326,12.23,12.29,12.01,12.1,935393
000001.SZ,20190524,12.35,12.45,12.31,12.35,495526
000001.SZ,20190614,12.59,12.69,12.45,12.49,483192
000001.SZ,20190618,12.67,12.85,12.59,12.8,483555
000001.SZ,20190710,13.61,13.7,13.49,13.56,358221
000001.SZ,20190718,13.65,13.81,13.56,13.67,422826
000001.SZ,20190802,13.77,13.88,13.66,13.74,969926
000001.SZ,20190819,14.91,14.94,14.52,14.92,2292956
000001.SZ,20190912,14.66,14.78,14.53,14.68,1150688
000001.SZ,20190917,14.36,14.45,14.18,14.24,882656
000001.SZ,20191009,16.1,16.52,16.02,16.25,1316693
000001.SZ,20191024,16.5,17.0,16.44,16.87,1109215
000001.SZ,20191030,16.8,16.96,16.42,16.43,854317
000001.SZ,20191106,17.06,17.26,16.88,16.96,863325
000001.SZ,20191203,15.3,15.46,15.21,15.45,455418
000001.SZ,20191216,16.12,16.14,15.87,16.13,787952
000001.SZ,20191224,16.23,16.5,16.23,16.4,459128
000001.SZ,20200206,14.81,14.87,14.51,14.77,1185816
000001.SZ,20200226,14.77,15.27,14.7,14.99,1176599
000001.SZ,20200320,12.4,12.68,12.26,12.52,1578353
000001.SZ,20200409,12.88,12.89,12.72,12.74,408554
000001.SZ,20200415,12.86,12.93,12.78,12.87,656396
000001.SZ,20200424,13.17,13.28,13.11,13.24,566002
000001.SZ,20200512,13.95,14.05,13.72,13.79,558511
000001.SZ,20200520,13.38,13.62,13.27,13.51,690851
000001.SZ,20200611,13.38,13.39,13.0,13.08,1349040
000001.SZ,20200715,14.78,14.86,14.23,14.27,2042563
000001.SZ,20200717,14.17,14.28,13.95,14.14,1291347
000001.SZ,20200722,14.49,14.65,14.27,14.41,1312952
000001.SZ,20200727,13.67,13.68,13.1,13.24,1880653
000001.SZ,20200728,13.34,13.43,13.18,13.34,1217006
000001.SZ,20200730,13.5,13.51,13.37,13.37,964068
000001.SZ,20200731,13.28,13.53,13.25,13.34,1165822
000001.SZ,20200827,14.4,14.46,14.11,14.46,626667
000001.SZ,20200911,15.18,15.3,14.82,15.01,954236
000001.SZ,20200929,15.39,15.41,14.76,14.8,1182374
000001.SZ,20200930,14.8,15.27,14.8,15.17,1217065
000001.SZ,20201015,16.2,16.92,16.15,16.56,1600062
000001.SZ,20201016,16.56,17.37,16.54,17.1,2095614
000001.SZ,20201019,17.3,18.1,17.3,17.48,2016106
000001.SZ,20201125,19.48,19.7,19.05,19.06,552585
000001.SZ,20201221,18.3,18.64,18.03,18.28,906878
000001.SZ,20201223,17.96,18.07,17.79,18.0,750083
000001.SZ,20201224,18.15,18.49,18.05,18.26,632950
000001.SZ,20210104,19.1,19.1,18.44,18.6,1554216
000001.SZ,20210114,20.68,20.89,19.95,20.17,1130156
000001.SZ,20210127,22.31,23.47,22.31,23.08,1294153
000001.SZ,20210205,24.6,25.31,24.27,24.93,1015576
000001.SZ,20210208,24.9,24.9,24.1,24.8,1084265
000001.SZ,20210302,21.62,22.15,21.26,21.65,1473425
000001.SZ,20210303,21.58,23.08,21.46,23.01,1919635
000001.SZ,20210318,21.3,21.73,21.0,21.73,691610
000001.SZ,20210324,21.21,21.28,20.45,20.53,850085
000001.SZ,20210414,20.79,20.94,20.42,20.67,537438
000001.SZ,20210607,24.48,24.48,23.93,24.3,447914
000001.SZ,20210708,22.78,22.78,21.2,21.51,1457059
000001.SZ,20210709,21.3,21.63,21.02,21.27,762365
000001.SZ,20210727,18.87,18.99,17.6,17.76,1357551
000001.SZ,20210817,19.85,20.22,19.61,19.67,476022
000001.SZ,20210819,20.48,20.62,20.02,20.34,649976
000001.SZ,20210820,19.97,20.07,18.7,19.42,1614628
000001.SZ,20210823,19.5,20.05,19.11,19.3,1191849
000001.SZ,20210827,18.56,18.88,18.31,18.39,728820
000001.SZ,20210923,18.1,18.32,17.65,17.68,1379838
000001.SZ,20211027,20.0,20.17,19.59,19.92,687600
000001.SZ,20211103,18.1,18.24,17.85,18.03,1114972
000001.SZ,20211116,18.36,18.54,18.17,18.22,601110
000001.SZ,20220110,17.29,17.42,17.03,17.19,909774
000001.SZ,20220112,17.41,17.45,16.9,17.0,1502164
000001.SZ,20220119,16.54,16.69,16.36,16.5,988392
000001.SZ,20220128,16.39,16.45,15.82,15.83,1675564
000001.SZ,20220228,15.9,15.92,15.62,15.75,723990
000001.SZ,20220301,15.79,15.95,15.62,15.92,935040
000001.SZ,20220408,16.26,16.45,16.13,16.4,1066779
000001.SZ,20220519,14.55,14.7,14.5,14.62,590922
000001.SZ,20220523,15.07,15.07,14.76,14.83,647726
000001.SZ,20220621,14.34,14.63,14.23,14.37,1321794
000001.SZ,20220708,14.5,14.65,14.37,14.54,639698
000001.SZ,20220712,14.41,14.73,14.38,14.42,742882
000001.SZ,20220713,14.42,14.47,13.89,13.97,2175996
000001.SZ,20220818,12.48,12.54,12.16,12.25,1269701
